fips,cases,deaths
53061,1694,61
17031,10520,312
6059,1016,17
4013,1559,37
6037,7530,198
6085,1380,47
25025,3600,50
6075,679,10
55025,302,11
6073,1530,36
48029,514,18
31055,199,5
6023,50,0
6067,579,22
6095,117,2
53063,231,13
49035,868,7
6041,149,10
6055,26,2
6097,123,1
41067,295,6
53033,3690,246
6001,695,16
12057,631,7
12081,172,8
6061,117,4
6081,617,21
13121,1261,42
25021,1778,42
33009,43,0
53071,17,0
6013,462,7
37183,363,0
34003,7874,314
36119,15887,343
48157,417,7
53007,35,3
8035,244,8
8059,610,23
12113,70,2
24031,1088,26
25017,3545,80
32003,1878,65
32031,326,8
36059,18548,701
47187,287,3
48201,2341,31
4021,124,0
6113,67,3
8031,927,33
8037,374,5
8041,472,30
12011,2365,60
12071,475,14
13233,22,0
15003,328,4
18097,2299,67
21067,170,7
27123,112,3
34007,838,22
36087,6413,98
37037,24,0
40143,293,16
42045,1034,23
42127,47,0
45019,308,1
45055,165,3
49011,163,2
49053,27,0
53011,190,13
53031,27,0
53053,802,16
6019,156,3
6039,30,2
6065,1179,32
6087,76,1
11001,1440,27
12015,76,1
12091,77,1
12127,165,3
13067,608,29
13135,586,17
20091,244,11
25003,281,20
29189,1302,26
33015,268,2
36091,167,1
41029,40,0
41035,19,0
42091,1521,37
50003,28,1
51059,570,9
53037,15,0
9001,4417,155
13057,155,6
18063,244,7
19103,147,1
21097,14,0
21111,402,27
24025,86,0
25027,1296,30
27019,10,0
34031,4372,71
36103,15844,328
36111,422,2
41019,12,0
41047,218,9
45083,126,4
47037,1140,13
47157,912,21
53035,119,1
4019,464,16
6089,24,3
8005,764,19
8069,167,8
13089,732,12
13113,90,4
13115,97,3
18113,11,1
19155,11,0
22051,4092,149
24033,1310,32
34017,5437,122
34025,3038,86
34039,4831,125
39035,960,23
42089,671,17
48085,378,5
51810,207,1
55093,7,0
6077,237,14
6111,263,7
8051,98,1
12001,144,0
12021,282,3
12089,29,0
12101,127,2
12103,395,10
13049,3,0
17089,296,19
17111,180,5
18001,2,0
18011,77,3
22071,5070,208
25009,2103,52
26125,4007,234
26163,9626,446
27003,46,0
34005,801,17
41051,286,10
42101,4456,86
46005,21,1
