retail,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,fips
0,-42.0,-13.0,-35.0,-23.0,-38.0,14.0,1003
1,-42.0,-13.0,-35.0,-23.0,-38.0,14.0,13009
2,-35.0,0.0,38.0,-33.0,-36.0,14.0,1043
3,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,1073
4,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,5069
5,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,8059
6,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,12065
7,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,13163
8,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,16051
9,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,17081
10,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,18077
11,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,19101
12,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,20087
13,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,21111
14,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,28063
15,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,29099
16,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,30043
17,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,31095
18,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,36045
19,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,39081
20,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,40067
21,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,41031
22,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,42065
23,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,47089
24,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,48245
25,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,53031
26,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,54037
27,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,55055
28,-42.0,-27.0,34.0,-39.0,-60.0,24.0,1073
29,-42.0,-27.0,34.0,-39.0,-60.0,24.0,5069
30,-42.0,-27.0,34.0,-39.0,-60.0,24.0,8059
31,-42.0,-27.0,34.0,-39.0,-60.0,24.0,12065
32,-42.0,-27.0,34.0,-39.0,-60.0,24.0,13163
33,-42.0,-27.0,34.0,-39.0,-60.0,24.0,16051
34,-42.0,-27.0,34.0,-39.0,-60.0,24.0,17081
35,-42.0,-27.0,34.0,-39.0,-60.0,24.0,18077
36,-42.0,-27.0,34.0,-39.0,-60.0,24.0,19101
37,-42.0,-27.0,34.0,-39.0,-60.0,24.0,20087
38,-42.0,-27.0,34.0,-39.0,-60.0,24.0,21111
39,-42.0,-27.0,34.0,-39.0,-60.0,24.0,28063
40,-42.0,-27.0,34.0,-39.0,-60.0,24.0,29099
41,-42.0,-27.0,34.0,-39.0,-60.0,24.0,30043
42,-42.0,-27.0,34.0,-39.0,-60.0,24.0,31095
43,-42.0,-27.0,34.0,-39.0,-60.0,24.0,36045
44,-42.0,-27.0,34.0,-39.0,-60.0,24.0,39081
45,-42.0,-27.0,34.0,-39.0,-60.0,24.0,40067
46,-42.0,-27.0,34.0,-39.0,-60.0,24.0,41031
47,-42.0,-27.0,34.0,-39.0,-60.0,24.0,42065
48,-42.0,-27.0,34.0,-39.0,-60.0,24.0,47089
49,-42.0,-27.0,34.0,-39.0,-60.0,24.0,48245
50,-42.0,-27.0,34.0,-39.0,-60.0,24.0,53031
51,-42.0,-27.0,34.0,-39.0,-60.0,24.0,54037
52,-42.0,-27.0,34.0,-39.0,-60.0,24.0,55055
53,-38.0,2.0,78.0,-27.0,-51.0,19.0,1073
54,-38.0,2.0,78.0,-27.0,-51.0,19.0,5069
55,-38.0,2.0,78.0,-27.0,-51.0,19.0,8059
56,-38.0,2.0,78.0,-27.0,-51.0,19.0,12065
57,-38.0,2.0,78.0,-27.0,-51.0,19.0,13163
58,-38.0,2.0,78.0,-27.0,-51.0,19.0,16051
59,-38.0,2.0,78.0,-27.0,-51.0,19.0,17081
60,-38.0,2.0,78.0,-27.0,-51.0,19.0,18077
61,-38.0,2.0,78.0,-27.0,-51.0,19.0,19101
62,-38.0,2.0,78.0,-27.0,-51.0,19.0,20087
63,-38.0,2.0,78.0,-27.0,-51.0,19.0,21111
64,-38.0,2.0,78.0,-27.0,-51.0,19.0,28063
65,-38.0,2.0,78.0,-27.0,-51.0,19.0,29099
66,-38.0,2.0,78.0,-27.0,-51.0,19.0,30043
67,-38.0,2.0,78.0,-27.0,-51.0,19.0,31095
68,-38.0,2.0,78.0,-27.0,-51.0,19.0,36045
69,-38.0,2.0,78.0,-27.0,-51.0,19.0,39081
70,-38.0,2.0,78.0,-27.0,-51.0,19.0,40067
71,-38.0,2.0,78.0,-27.0,-51.0,19.0,41031
72,-38.0,2.0,78.0,-27.0,-51.0,19.0,42065
73,-38.0,2.0,78.0,-27.0,-51.0,19.0,47089
74,-38.0,2.0,78.0,-27.0,-51.0,19.0,48245
75,-38.0,2.0,78.0,-27.0,-51.0,19.0,53031
76,-38.0,2.0,78.0,-27.0,-51.0,19.0,54037
77,-38.0,2.0,78.0,-27.0,-51.0,19.0,55055
78,-39.0,-16.0,13.0,-23.0,-37.0,16.0,1073
79,-39.0,-16.0,13.0,-23.0,-37.0,16.0,5069
80,-39.0,-16.0,13.0,-23.0,-37.0,16.0,8059
81,-39.0,-16.0,13.0,-23.0,-37.0,16.0,12065
82,-39.0,-16.0,13.0,-23.0,-37.0,16.0,13163
83,-39.0,-16.0,13.0,-23.0,-37.0,16.0,16051
84,-39.0,-16.0,13.0,-23.0,-37.0,16.0,17081
85,-39.0,-16.0,13.0,-23.0,-37.0,16.0,18077
86,-39.0,-16.0,13.0,-23.0,-37.0,16.0,19101
87,-39.0,-16.0,13.0,-23.0,-37.0,16.0,20087
88,-39.0,-16.0,13.0,-23.0,-37.0,16.0,21111
89,-39.0,-16.0,13.0,-23.0,-37.0,16.0,28063
90,-39.0,-16.0,13.0,-23.0,-37.0,16.0,29099
91,-39.0,-16.0,13.0,-23.0,-37.0,16.0,30043
92,-39.0,-16.0,13.0,-23.0,-37.0,16.0,31095
93,-39.0,-16.0,13.0,-23.0,-37.0,16.0,36045
94,-39.0,-16.0,13.0,-23.0,-37.0,16.0,39081
95,-39.0,-16.0,13.0,-23.0,-37.0,16.0,40067
96,-39.0,-16.0,13.0,-23.0,-37.0,16.0,41031
97,-39.0,-16.0,13.0,-23.0,-37.0,16.0,42065
98,-39.0,-16.0,13.0,-23.0,-37.0,16.0,47089
99,-39.0,-16.0,13.0,-23.0,-37.0,16.0,48245
100,-39.0,-16.0,13.0,-23.0,-37.0,16.0,53031
101,-39.0,-16.0,13.0,-23.0,-37.0,16.0,54037
102,-39.0,-16.0,13.0,-23.0,-37.0,16.0,55055
103,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,1089
104,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,5087
105,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,12079
106,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,13195
107,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,16065
108,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,17119
109,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,18095
110,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,19121
111,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,21151
112,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,28089
113,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,29123
