fips,pop_total,pop_density
1001,54571,91.8
1003,182265,114.6
1005,27457,31
1007,22915,36.8
1009,57322,88.9
1011,10914,17.5
1013,20947,27
1015,118572,195.7
1017,34215,57.4
1019,25989,46.9
1021,43643,63
1023,13859,15.2
1025,25833,20.9
1027,13932,23.1
1029,14972,26.7
1031,49948,73.6
1033,54428,91.8
1035,13228,15.6
1037,11539,17.7
1039,37765,36.6
1041,13906,22.8
1043,80406,109.4
1045,50251,89.6
1047,43820,44.8
1049,71109,91.5
1051,79303,128.2
1053,38319,40.5
1055,104430,195.2
1057,17241,27.5
1059,31704,50
1061,26790,46.6
1063,9045,14
1065,15760,24.5
1067,17302,30.8
1069,101547,175.1
1071,53227,49.4
1073,658466,592.5
1075,14564,24.1
1077,92709,138.8
1079,34339,49.7
1081,140247,230.8
1083,82782,147.8
1085,11299,15.8
1087,21452,35.2
1089,334811,417.7
1091,21027,21.5
1093,30776,41.5
1095,93019,164.4
1097,412992,335.9
1099,23068,22.5
1101,229363,292.5
1103,119490,206.3
1105,10591,14.7
1107,19746,22.4
1109,32899,48.9
1111,22913,39.5
1113,52947,82.6
1115,83593,132.3
1117,195085,248.5
1119,13763,15.2
1121,82291,111.7
1123,41616,58.1
1125,194656,147.3
1127,67023,84.7
1129,17581,16.3
1131,11670,13.1
1133,24484,39.9
2013,3141,0.4
2016,5561,1.3
2020,291826,171.2
2050,17013,0.4
2060,997,2
2068,1826,0.1
2070,4847,0.3
2090,97581,13.3
2100,2508,1.1
2105,2150,0.3
2110,31275,11.6
2122,55400,3.4
2130,13477,2.8
2150,13592,2.1
2164,1631,0.1
2170,88995,3.6
2180,9492,0.4
2185,9430,0.1
2188,7523,0.2
2195,3815,1.2
2198,5559,1.4
2220,8881,3.1
2230,968,2.1
2240,7029,0.3
2261,9636,0.3
2270,7459,0.4
2275,2369,0.9
2282,662,0.1
2290,5588,0
4001,71518,6.4
4003,131346,21.3
4005,134421,7.2
4007,53597,11.3
4009,37220,8.1
4011,8437,4.6
4012,20489,4.6
4013,3817117,414.9
4015,200186,15
4017,107449,10.8
4019,980263,106.7
4021,375770,70
4023,47420,38.3
4025,211033,26
4027,195751,35.5
5001,19019,19.2
5003,21853,23.6
5005,41513,74.9
5007,221339,261.2
5009,36903,62.5
5011,11508,17.7
5013,5368,8.5
5015,27446,43.6
5017,11800,18.3
5019,22995,26.6
5021,16083,25.2
5023,25970,46.9
5025,8689,14.5
5027,24552,32.1
5029,21273,38.5
5031,96443,136.4
5033,61948,104.4
5035,50902,83.5
5037,17870,29
5039,8116,12.2
5041,13008,16.9
5043,18509,22.3
5045,113237,174.8
5047,18125,29.8
5049,12245,19.8
5051,96024,141.7
5053,17853,28.3
5055,42090,72.9
5057,22609,31.1
5059,32923,53.5
5061,13789,23.4
5063,36647,48
5065,13696,23.6
